Key                  Xdotool Name

ESC                  Escape
!                    Shift+1
1                    1
@                    Shift+2
2                    2
#                    Shift+3
3                    3
$                    Shift+4
4                    4
%                    Shift+5
5                    5
^                    Shift+6
6                    6
&                    Shift+7
7                    7
*                    KP_Multiply
8                    8
(                    Shift+9
9                    9
)                    Shift+0
0                    0
_                    Shift+minus
-                    minus
+                    Shift+equal
=                    equal
BKSP                 BackSpace
TAB                  Tab
Q                    Q
W                    W
E                    E
R                    R
T                    T
Y                    Y
U                    U
I                    I
O                    O
P                    P
{                    braceleft
[                    bracketleft
}                    braceright
]                    bracketright
ENTER                Return
LCTRL                Control_L
RCTRL                Control_R
A                    A
S                    S
D                    D
F                    F
G                    G
H                    H
J                    J
K                    K
L                    L
:                    colon
;                    semicolon
"                    quotedbl
'                    apostrophe
TILDE                asciitilde
BACKTICK             quoteleft
LSHIFT               Shift_L
|                    bar
BSLASH               backslash
Z                    Z
X                    X
C                    C
V                    V
B                    B
N                    N
M                    M
<                    less
,                    comma
>                    greater
.                    period
?                    question
/                    slash
RSHIFT               Shift_R
PRTSC                Print
LALT                 Alt_L
RALT                 Alt_R
SPACEBAR             space
CAPSLOCK             Caps_Lock
F1                   F1
F2                   F2
F3                   F3
F4                   F4
F5                   F5
F6                   F6
F7                   F7
F8                   F8
F9                   F9
F10                  F10
NUMLOCK              Num_Lock
SCROLL_LOCK          Scroll_Lock
HOME                 Home
NUM7                 KP_7
UP                   Up
NUM8                 KP_8
PGUP                 Page_Up
NUM9                 KP_9
NUM-                 KP_Subtract
LEFT                 Left
NUM4                 KP_4
NUM5                 KP_5
RIGHT                Right
NUM6                 KP_6
NUM+                 KP_Add
END                  End
NUM1                 KP_1
DOWN                 Down
NUM2                 KP_2
PGDN                 Page_Down
NUM3                 KP_3
INS                  Insert
NUM0                 KP_0
DEL                  Delete
F11                  F11
F12                  F12
q                    q
w                    w
e                    e
r                    r
t                    t
y                    y
u                    u
i                    i
o                    o
p                    p
a                    a
s                    s
d                    d
f                    f
g                    g
h                    h
j                    j
k                    k
l                    l
z                    z
x                    x
c                    c
v                    v
b                    b
n                    n
m                    m
